algorithm,size,seconds,speedup
gpu_radix_sort_opt_2,4194304,0.01780,2.434
bitonic_sort,4194304,0.00204,21.263
thrust_sort,4194304,0.00064,67.359
radix_sort_tbb,4194304,0.00394,7.564
gpu_radix_sort_opt_2,4194304,0.01672,1.784
bitonic_sort,4194304,0.00203,14.674
thrust_sort,4194304,0.00062,48.477
radix_sort_tbb,4194304,0.00350,7.272
gpu_radix_sort_opt_2,4194304,0.01668,1.525
bitonic_sort,4194304,0.00203,12.514
thrust_sort,4194304,0.00062,41.090
radix_sort_tbb,4194304,0.00358,6.848
gpu_radix_sort_opt_2,4194304,0.01671,1.469
bitonic_sort,4194304,0.00204,12.002
thrust_sort,4194304,0.00062,39.776
radix_sort_tbb,4194304,0.00375,7.429
gpu_radix_sort_opt_2,4194304,0.01668,1.669
bitonic_sort,4194304,0.00203,13.696
thrust_sort,4194304,0.00062,45.105
radix_sort_tbb,4194304,0.00447,5.411
gpu_radix_sort_opt_2,4194304,0.01668,1.449
bitonic_sort,4194304,0.00203,11.905
thrust_sort,4194304,0.00062,39.124
radix_sort_tbb,4194304,0.00433,6.094
gpu_radix_sort_opt_2,4194304,0.01669,1.581
bitonic_sort,4194304,0.00203,12.980
thrust_sort,4194304,0.00064,41.278
radix_sort_tbb,4194304,0.00437,5.671
gpu_radix_sort_opt_2,4194304,0.01667,1.487
bitonic_sort,4194304,0.00203,12.190
thrust_sort,4194304,0.00062,40.040
radix_sort_tbb,4194304,0.00428,5.697
gpu_radix_sort_opt_2,4194304,0.01670,1.462
bitonic_sort,4194304,0.00203,12.007
thrust_sort,4194304,0.00062,39.304
radix_sort_tbb,4194304,0.00398,6.658
gpu_radix_sort_opt_2,4194304,0.01670,1.588
bitonic_sort,4194304,0.00203,13.042
thrust_sort,4194304,0.00062,42.484
radix_sort_tbb,4194304,0.00442,5.540
gpu_radix_sort_opt_2,4194304,0.01668,1.469
bitonic_sort,4194304,0.00203,12.047
thrust_sort,4194304,0.00062,39.261
radix_sort_tbb,4194304,0.00372,6.737
gpu_radix_sort_opt_2,4194304,0.01673,1.497
